Strategy,Embedding,K,Avg_MRR,Avg_Recall,Avg_Hit_Rate,Avg_Citation_Acc,Correct_Abstention_Rate,Hallucination_Rate,Ragas_Faithfulness,Ragas_Answer_Corr
SMALL,nomic-embed-text,3,0.5,0.6,0.6,0.3,1.0,0.0,0.46916666666666657,0.510909519124218
SMALL,nomic-embed-text,5,0.5011111111111111,0.5666666666666667,0.5666666666666667,0.4066666666666667,1.0,0.0,0.49777777777777776,0.49482281529076655
SMALL,nomic-embed-text,10,0.48444444444444446,0.5666666666666667,0.5666666666666667,0.4033333333333333,1.0,0.0,0.48605442176870745,0.477589113640585
SMALL,mxbai-embed-large,3,0.5611111111111111,0.6,0.6,0.5222222222222223,1.0,0.0,0.6633333333333333,0.54720663910613
SMALL,mxbai-embed-large,5,0.5416666666666666,0.6,0.6,0.6,0.8,0.2,0.6391666666666667,0.5072208204346372
SMALL,mxbai-embed-large,10,0.5666666666666667,0.6,0.6,0.5133333333333333,1.0,0.0,0.6464912280701754,0.5285856519321143
MEDIUM,nomic-embed-text,3,0.5166666666666667,0.5333333333333333,0.5333333333333333,0.27777777777777773,1.0,0.0,0.4730769230769231,0.4343976472398003
MEDIUM,nomic-embed-text,5,0.5083333333333333,0.5333333333333333,0.5333333333333333,0.3866666666666667,1.0,0.0,0.5614583333333334,0.5727886817808241
MEDIUM,nomic-embed-text,10,0.4944444444444444,0.6,0.6,0.5066666666666666,1.0,0.0,0.3486904761904762,0.634370188476197
MEDIUM,mxbai-embed-large,3,0.6,0.6,0.6,0.5,1.0,0.0,0.5740740740740741,0.5676926564163248
MEDIUM,mxbai-embed-large,5,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5399999999999999,1.0,0.0,0.4619791666666667,0.5094760140623206
MEDIUM,mxbai-embed-large,10,0.5777777777777777,0.6,0.6,0.4733333333333334,0.8,0.2,0.4847222222222222,0.5735495768446985
LARGE,nomic-embed-text,3,0.5333333333333333,0.6,0.6,0.3555555555555555,1.0,0.0,0.5033333333333333,0.46273210746620486
LARGE,nomic-embed-text,5,0.47333333333333333,0.5666666666666667,0.5666666666666667,0.4,1.0,0.0,0.46664120193531955,0.5250322123863503
LARGE,nomic-embed-text,10,0.475,0.5666666666666667,0.5666666666666667,0.49333333333333335,1.0,0.0,0.48583333333333334,0.6211996134485032
LARGE,mxbai-embed-large,3,0.55,0.5666666666666667,0.5666666666666667,0.5777777777777776,1.0,0.0,0.6791666666666666,0.6232691082288053
LARGE,mxbai-embed-large,5,0.5666666666666667,0.6,0.6,0.5000000000000001,1.0,0.0,0.5253571428571429,0.618735623419226
LARGE,mxbai-embed-large,10,0.5547619047619048,0.6,0.6,0.4766666666666667,0.8,0.2,0.596078431372549,0.652333170411232
